Year;LPUE;sdev;Landings;ntrips
2000;;;265;
2001;;;268;
2002;;;232;
2003;;;252;
2004;;;238;
2005;;;263;
2006;;;208;
2007;;;188;
2008;15.4;6.55;197;1666
2009;13.23;6.54;166;1886
2010;19.42;10.95;223;2610
2011;19.82;11.08;162;2029
2012;20.96;11.94;165;2408
2013;13.78;7.84;182;2251
2014;15.42;9.19;174;2366
2015;21.23;10.51;236;2011
2016;27.65;15.62;222;2214
2017;34.86;17.96;236;2026
2018;26.32;12.73;195;2119
2019;33.31;21.26;263;1237
2020;29.07;15.72;347;2239
2021;31.35;15.13;278;1552
2022;32.32;13.7;311;1175
