Year;Q1_B_g;Q1_B_kg;Q1_N;Q1_var_B_g;Q1_sd_B_g;Q1_sd_B_kg;Q1_var_N;Q1_smdP;Q1_smdN;Q4_B_g;Q4_B_kg;Q4_N;Q4_var_B_g;Q4_sd_B_g;Q4_sd_B_kg;Q4_var_N;Q4_smdP;Q4_smdN
1993;39,20;0,04;0,06;776,41;27,86;0,03;0,00;4,78;0,01;;;;;;;;;
1994;48;0,05;0,04;2347;48,45;0,05;0,00;8,85;0,01;;;;;;;;;
1995;;;;;;;;;;;;;;;;;;
1996;24;0,02;0,12;343;18,51;0,02;0,00;3,33;0,01;;;;;;;;;
1997;203;0,20;0,30;15531;124,62;0,12;0,04;22,75;0,04;;;;;;;;;
1998;30,68;0,03;0,05;941,43;30,68;0,03;0,00;5,51;0,01;5,52;0,01;0,03;30,48;5,52;0,01;0,00;0,95;0,01
1999;35;0,03;0,13;881;29,68;0,03;0,01;4,81;0,02;157;0,16;0,24;10579;102,85;0,10;0,03;16,69;0,03
2000;68,29;0,07;0,44;4493,76;67,04;0,07;0,15;10,47;0,06;20;0,02;0,20;409;20,23;0,02;0,04;3,69;0,04
2001;178;0,18;0,29;31319;176,97;0,18;0,07;27,98;0,04;77;0,08;0,23;5001;70,72;0,07;0,04;11,32;0,03
2002;703;0,70;1,68;177266;421,03;0,42;0,92;62,76;0,14;77;0,08;0,31;5894;76,77;0,08;0,10;12,29;0,05
2003;;;;;;;;;;870;0,87;2,50;110046;331,73;0,33;1,00;51,81;0,16
2004;222;0,22;0,66;19849;140,89;0,14;0,22;22,28;0,07;847;0,85;2,67;153106;391,29;0,39;2,76;61,87;0,26
2005;952;0,95;1,91;277450;526,74;0,53;0,95;83,28;0,15;234;0,23;0,40;12402;111,37;0,11;0,04;17,18;0,03
2006;817,68;0,82;2,88;127529,50;357,11;0,36;3,03;54,46;0,27;1190,30;1,19;2,75;315513,53;561,71;0,56;1,46;87,72;0,19
2007;475;0,48;0,98;73134;270,43;0,27;0,29;42,23;0,08;246;0,25;0,76;19163;138,43;0,14;0,27;22,76;0,09
2008;241;0,24;0,40;26836;163,82;0,16;0,05;25,58;0,04;431;0,43;0,96;65306;255,55;0,26;0,49;39,91;0,11
2009;405;0,41;0,91;34906;186,83;0,19;0,25;29,54;0,08;1229;1,23;2,29;444350;666,60;0,67;1,35;101,65;0,18
2010;506;0,51;1,03;88737;297,89;0,30;0,41;49,65;0,11;331;0,33;0,66;15222;123,38;0,12;0,08;18,60;0,04
2011;525,03;0,53;0,84;47010,96;216,82;0,22;0,13;33,46;0,06;492,62;0,49;0,60;43197,48;207,84;0,21;0,07;32,86;0,04
2012;642;0,64;1,28;284452;533,34;0,53;1,16;92,84;0,19;1495;1,49;2,89;828045;909,97;0,91;3,19;149,60;0,29
2013;1214;1,21;2,62;621740;788,50;0,79;2,31;124,67;0,24;3023;3,02;3,99;1113519;1055,23;1,06;2,96;160,92;0,26
2014;871;0,87;1,32;237289;487,12;0,49;0,34;77,02;0,09;277;0,28;0,59;23584;153,57;0,15;0,12;22,89;0,05
2015;1039;1,04;2,59;358941;599,12;0,60;2,82;91,36;0,26;1770;1,77;2,93;710588;842,96;0,84;2,98;124,29;0,25
2016;584;0,58;1,91;78197;279,64;0,28;1,85;42,16;0,20;1513;1,51;2,48;420907;648,77;0,65;1,52;96,71;0,18
2017;1925,9;1,9;6,5;882542,3;939,44;0,94;13,7;140,0;0,6;2445;2,45;5,45;956380;977,95;0,98;7,06;147,43;0,40
2018;2481,7;2,5;6,4;698334,9;835,66;0,84;12,1;130,5;0,5;1824;1,82;3,56;520256;721,29;0,72;2,13;107,52;0,22
2019;1799,8;1,8;2,5;844062,9;918,73;0,92;1,6;135,5;0,2;1293,9;1,3;2,3;293731,5;541,97;0,54;1,3;82,6;0,2
2020;304,7;0,3;0,4;15295,5;123,67;0,12;0,0;18,4;0,0;423,4;0,4;0,4;32251,0;179,59;0,18;0,0;27,1;0,0
2021;;;;;;;;;;;;;;;;;;
2022;968,35;0,97;1,96;151909,68;389,76;0,39;0,68;58,76;0,12;994,72;0,99;1,88;113827,64;337,38;0,34;0,44;50,29;0,10
